,Unnamed: 0,Price,Address,Beds,Bathrooms,Square Footage,Property type
559,559,"$998,000","2280 E 27th St, Brooklyn, NY 11229",3 bds,2 ba,"2,011 sqft",- House for sale
560,560,"$375,000","205 E 63rd St APT 4E, New York, NY 10065",1 bd,1 ba,800 sqft,- Condo for sale
561,561,"$749,000","3145 Tibbett Ave, Bronx, NY 10463",3 bds,2 ba,"1,525 sqft",- House for sale
562,562,"$925,000","236 Yetman Ave, Staten Island, NY 10307",5 bds,4 ba,"2,656 sqft",- Multi-family home for sale
563,563,"$599,999","18737 Keeseville Ave, Jamaica, NY 11412",4 bds,3 ba,-- sqft,- House for sale
564,564,"$370,000","293 Bay 19th St #A, Brooklyn, NY 11214",1 bd,1 ba,550 sqft,- Condo for sale
565,565,"$749,900","149 Twombly Ave, Staten Island, NY 10306",3 bds,2 ba,"1,232 sqft",- House for sale
566,566,"$519,000","61 Sharrotts Rd, Staten Island, NY 10309",4 bds,2 ba,"1,600 sqft",- House for sale
567,567,"$20,150,000","432 Park Ave APT 52C, New York, NY 10022",3 bds,4 ba,"3,576 sqft",- For sale by owner
568,568,"$574,999","112 Herrick Ave, Staten Island, NY 10309",3 bds,3 ba,"1,491 sqft",- Townhouse for sale
569,569,"$499,000","215-05 104th Ave, Queens Village, NY 11429",4 bds,2 ba,"1,280 sqft",- House for sale
570,570,"$789,999","306 E 48th St, Brooklyn, NY 11203",4 bds,2 ba,"1,884 sqft",- Multi-family home for sale
571,571,"$775,000","14648 Farmers Blvd, Jamaica, NY 11434",5 bds,3 ba,"1,795 sqft",- Multi-family home for sale
572,572,"$385,000","190 Beach 109th St, Rockaway Park, NY 11694",2 bds,1 ba,900 sqft,- House for sale
573,573,"$399,000","252-50 63rd Ave #1367, Little Neck, NY 11362",3 bds,1 ba,-- sqft,- Condo for sale
574,574,"$900,000","7302 Cook Ave, Middle Village, NY 11379",4 bds,3 ba,-- sqft,- House for sale
575,575,"$899,000","253-30 Craft Ave, Jamaica, NY 11422",6 bds,4 ba,"2,256 sqft",- Multi-family home for sale
576,576,"$249,000","5610-5650 Netherland Ave #1A, Bronx, NY 10471",2 bds,1 ba,950 sqft,- Condo for sale
577,577,"$580,000","170 Mulberry St #D4, New York, NY 10013",1 bd,1 ba,600 sqft,- Condo for sale
578,578,"$89,000","814B Tilden St #1A, Bronx, NY 10467",1 bd,1 ba,740 sqft,- Condo for sale
579,579,"$2,675,000","56 Buttonwood Rd, Staten Island, NY 10304",4 bds,5 ba,"6,555 sqft",- House for sale
580,580,"$779,000","110-11 198th St, Saint Albans, NY 11412",4 bds,3 ba,"2,314 sqft",- House for sale
581,581,"$2,250,000","473 Marlborough Rd, Brooklyn, NY 11226",6 bds,4 ba,"2,212 sqft",- For sale by owner
582,582,"$249,000","2640 Marion Ave APT 2K, Bronx, NY 10458",3 bds,1 ba,"1,150 sqft",- Condo for sale
